Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
SYCL,1,1536,3584,1024,3.48798,1.84889
SYCL,1,1536,3584,1536,5.86043,2.01067
SYCL,1,1536,3584,2048,4.43241,2.02761
SYCL,1,1536,3584,2560,7.04631,1.2153
SYCL,1,1536,3584,3072,6.37337,0.799511
SYCL,1,1536,3584,3584,8.26295,1.78738
SYCL,1,1536,3584,4096,7.80144,1.58403
SYCL,1,1536,4096,512,2.81184,1.87168
SYCL,1,1536,4096,1024,3.81417,1.90727
SYCL,1,1536,4096,1536,5.84964,2.32095
SYCL,1,1536,4096,2048,5.39511,1.05415
SYCL,1,1536,4096,2560,7.97755,-0.871468
SYCL,1,1536,4096,3072,7.85861,1.82251
SYCL,1,1536,4096,3584,9.57811,2.65934
SYCL,1,1536,4096,4096,9.33904,2.04686
SYCL,1,2048,512,512,0.881553,0.274376
SYCL,1,2048,512,1024,1.32929,1.06824
SYCL,1,2048,512,1536,1.97208,1.59899
SYCL,1,2048,512,2048,2.29622,1.51638
SYCL,1,2048,512,2560,2.68421,2.66199
SYCL,1,2048,512,3072,3.25999,2.62324
SYCL,1,2048,512,3584,3.33763,3.1863
SYCL,1,2048,512,4096,3.94406,3.32279
SYCL,1,2048,1024,512,1.20921,0.652561
SYCL,1,2048,1024,1024,1.92415,1.16843
SYCL,1,2048,1024,1536,2.64495,1.4355
SYCL,1,2048,1024,2048,3.0351,1.42231
SYCL,1,2048,1024,2560,3.75533,2.32003
SYCL,1,2048,1024,3072,4.74956,2.97591
SYCL,1,2048,1024,3584,5.65088,3.20262
SYCL,1,2048,1024,4096,4.96693,2.97415
SYCL,1,2048,1536,512,1.5085,1.03225
SYCL,1,2048,1536,1024,2.28786,1.17882
SYCL,1,2048,1536,1536,2.79196,1.12389
SYCL,1,2048,1536,2048,3.42699,1.36325
SYCL,1,2048,1536,2560,4.48694,3.0287
SYCL,1,2048,1536,3072,5.32241,3.10974
SYCL,1,2048,1536,3584,5.80709,1.00931
SYCL,1,2048,1536,4096,5.95255,1.97882
SYCL,1,2048,2048,512,1.84297,1.21691
SYCL,1,2048,2048,1024,2.47889,1.19198
SYCL,1,2048,2048,1536,3.0185,1.34473
SYCL,1,2048,2048,2048,3.83847,0.952271
SYCL,1,2048,2048,2560,6.11502,1.63458
SYCL,1,2048,2048,3072,5.41126,1.7155
SYCL,1,2048,2048,3584,6.82017,0.067345
SYCL,1,2048,2048,4096,6.99029,0.673978
SYCL,1,2048,2560,512,2.28752,1.58807
SYCL,1,2048,2560,1024,3.01358,1.20203
SYCL,1,2048,2560,1536,4.63418,1.18061
SYCL,1,2048,2560,2048,5.8104,2.1965
SYCL,1,2048,2560,2560,5.62023,2.29524
SYCL,1,2048,2560,3072,6.11242,0.502546
SYCL,1,2048,2560,3584,7.79201,0.62346
SYCL,1,2048,2560,4096,7.50198,2.22512
SYCL,1,2048,3072,512,2.24841,1.73499
SYCL,1,2048,3072,1024,3.27778,1.27384
SYCL,1,2048,3072,1536,4.9144,2.14985
SYCL,1,2048,3072,2048,5.05322,1.73369
SYCL,1,2048,3072,2560,6.79728,1.42342
SYCL,1,2048,3072,3072,7.36911,0.318329
SYCL,1,2048,3072,3584,8.36952,2.65113
SYCL,1,2048,3072,4096,8.71668,2.73438
SYCL,1,2048,3584,512,2.61652,0.602393
SYCL,1,2048,3584,1024,4.07422,1.59828
SYCL,1,2048,3584,1536,6.18751,1.85703
SYCL,1,2048,3584,2048,5.94426,1.3447
SYCL,1,2048,3584,2560,7.01768,1.87794
SYCL,1,2048,3584,3072,8.15169,2.10583
SYCL,1,2048,3584,3584,9.35964,3.3597
SYCL,1,2048,3584,4096,9.67819,2.453
SYCL,1,2048,4096,512,3.27233,0.833037
SYCL,1,2048,4096,1024,4.66242,1.69468
SYCL,1,2048,4096,1536,6.59807,1.2807
SYCL,1,2048,4096,2048,7.9508,1.34162
SYCL,1,2048,4096,2560,8.25277,0.06875
SYCL,1,2048,4096,3072,10.0369,1.57946
SYCL,1,2048,4096,3584,10.5574,3.96916
SYCL,1,2048,4096,4096,12.122,1.22045
SYCL,1,2560,512,512,0.967655,1.1652
SYCL,1,2560,512,1024,1.53488,1.74647
SYCL,1,2560,512,1536,2.44908,1.65927
SYCL,1,2560,512,2048,2.96029,2.63122
SYCL,1,2560,512,2560,3.35454,2.74967
SYCL,1,2560,512,3072,4.37611,3.12526
SYCL,1,2560,512,3584,5.0888,3.1752
