Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
SYCL,0,2048,3584,3072,14.855,-1.55717
SYCL,0,2048,3584,3584,16.5733,2.31383
SYCL,0,2048,3584,4096,19.3019,3.96853
SYCL,0,2048,4096,512,5.95392,0.76979
SYCL,0,2048,4096,1024,8.8032,1.83289
SYCL,0,2048,4096,1536,11.0726,1.42148
SYCL,0,2048,4096,2048,12.0741,-2.13985
SYCL,0,2048,4096,2560,14.2484,-0.407279
SYCL,0,2048,4096,3072,16.7213,2.06621
SYCL,0,2048,4096,3584,19.1276,2.91852
SYCL,0,2048,4096,4096,21.2676,0.270583
SYCL,0,2560,512,512,1.65945,0.770885
SYCL,0,2560,512,1024,2.31284,0.87953
SYCL,0,2560,512,1536,4.25887,2.03664
SYCL,0,2560,512,2048,6.057,2.40057
SYCL,0,2560,512,2560,5.88537,3.82021
SYCL,0,2560,512,3072,7.08818,1.1856
SYCL,0,2560,512,3584,8.54198,2.66739
SYCL,0,2560,512,4096,7.95475,1.9834
SYCL,0,2560,1024,512,2.24338,0.513599
SYCL,0,2560,1024,1024,3.54334,1.00353
SYCL,0,2560,1024,1536,5.22274,2.21823
SYCL,0,2560,1024,2048,7.68768,2.18364
SYCL,0,2560,1024,2560,8.2653,2.1095
SYCL,0,2560,1024,3072,8.47711,0.970851
SYCL,0,2560,1024,3584,9.9808,-0.841732
SYCL,0,2560,1024,4096,11.7673,-1.80914
SYCL,0,2560,1536,512,3.4117,1.27356
SYCL,0,2560,1536,1024,5.50668,0.872524
SYCL,0,2560,1536,1536,7.15816,0.979823
SYCL,0,2560,1536,2048,8.93655,1.92123
SYCL,0,2560,1536,2560,9.65613,-0.822213
SYCL,0,2560,1536,3072,12.0408,0.761075
SYCL,0,2560,1536,3584,11.8892,-1.07152
SYCL,0,2560,1536,4096,14.9978,-0.749648
SYCL,0,2560,2048,512,4.53607,1.09645
SYCL,0,2560,2048,1024,6.27123,0.428305
SYCL,0,2560,2048,1536,7.37842,1.02693
SYCL,0,2560,2048,2048,8.86463,-1.8536
SYCL,0,2560,2048,2560,10.6336,-1.0201
SYCL,0,2560,2048,3072,12.1723,-2.83156
SYCL,0,2560,2048,3584,14.1732,-1.29435
SYCL,0,2560,2048,4096,15.1244,0.011811
SYCL,0,2560,2560,512,5.08902,0.887604
SYCL,0,2560,2560,1024,7.93521,2.1827
SYCL,0,2560,2560,1536,8.6639,1.93074
SYCL,0,2560,2560,2048,10.0279,-0.181039
SYCL,0,2560,2560,2560,12.9085,-0.454385
SYCL,0,2560,2560,3072,13.2154,-1.02453
SYCL,0,2560,2560,3584,16.9768,-0.502043
SYCL,0,2560,2560,4096,22.1203,7.35294
SYCL,0,2560,3072,512,5.90705,0.295803
SYCL,0,2560,3072,1024,8.46925,0.353014
SYCL,0,2560,3072,1536,9.98382,1.23762
SYCL,0,2560,3072,2048,11.7829,-0.842655
SYCL,0,2560,3072,2560,14.3611,-1.42107
SYCL,0,2560,3072,3072,15.7406,0.397015
SYCL,0,2560,3072,3584,18.4767,-0.482776
SYCL,0,2560,3072,4096,20.7914,6.62306
SYCL,0,2560,3584,512,6.37352,0.406303
SYCL,0,2560,3584,1024,8.88071,0.909759
SYCL,0,2560,3584,1536,11.2732,-0.135082
SYCL,0,2560,3584,2048,12.7107,-1.17074
SYCL,0,2560,3584,2560,14.9874,-1.09897
SYCL,0,2560,3584,3072,17.574,1.06801
SYCL,0,2560,3584,3584,20.5115,1.84225
SYCL,0,2560,3584,4096,22.8943,4.58416
SYCL,0,2560,4096,512,6.65233,0.711444
SYCL,0,2560,4096,1024,8.87884,2.73876
SYCL,0,2560,4096,1536,12.4101,-0.16806
SYCL,0,2560,4096,2048,13.4515,-0.416659
SYCL,0,2560,4096,2560,17.4084,-1.35115
SYCL,0,2560,4096,3072,20.4394,1.9534
SYCL,0,2560,4096,3584,22.6832,3.1953
SYCL,0,2560,4096,4096,26.2962,3.02487
SYCL,0,3072,512,512,1.93643,0.359051
SYCL,0,3072,512,1024,2.73898,0.85554
SYCL,0,3072,512,1536,5.0866,1.98448
SYCL,0,3072,512,2048,6.6848,2.31965
SYCL,0,3072,512,2560,6.8709,1.2409
SYCL,0,3072,512,3072,8.36388,1.91309
SYCL,0,3072,512,3584,8.60308,1.55042
SYCL,0,3072,512,4096,9.83217,3.55555
SYCL,0,3072,1024,512,2.89397,0.205975
SYCL,0,3072,1024,1024,4.5367,0.812136
SYCL,0,3072,1024,1536,5.74764,2.38449
SYCL,0,3072,1024,2048,7.84058,2.25152
SYCL,0,3072,1024,2560,8.23767,-1.84803
SYCL,0,3072,1024,3072,10.1517,-1.0178
SYCL,0,3072,1024,3584,11.7216,-1.64263
SYCL,0,3072,1024,4096,13.5775,1.62204
SYCL,0,3072,1536,512,4.18869,1.1
SYCL,0,3072,1536,1024,6.05054,1.75295
SYCL,0,3072,1536,1536,8.13747,1.53775
SYCL,0,3072,1536,2048,9.40943,1.36958
SYCL,0,3072,1536,2560,10.8483,-2.03718
SYCL,0,3072,1536,3072,13.0417,-2.34564
SYCL,0,3072,1536,3584,13.8099,-1.17988
SYCL,0,3072,1536,4096,16.5795,2.66819
SYCL,0,3072,2048,512,4.94129,0.607509
SYCL,0,3072,2048,1024,7.50485,2.41935
SYCL,0,3072,2048,1536,8.39413,1.55975
SYCL,0,3072,2048,2048,9.66451,0.623767
SYCL,0,3072,2048,2560,12.2924,1.18979
SYCL,0,3072,2048,3072,12.8819,-0.486985
SYCL,0,3072,2048,3584,15.2241,-0.398876
SYCL,0,3072,2048,4096,16.3631,1.38883
SYCL,0,3072,2560,512,5.22339,0.779043
SYCL,0,3072,2560,1024,8.22785,1.00632
SYCL,0,3072,2560,1536,9.65694,1.81572
SYCL,0,3072,2560,2048,11.2013,0.350381
SYCL,0,3072,2560,2560,13.7827,0.230766
SYCL,0,3072,2560,3072,15.25,0.040458
SYCL,0,3072,2560,3584,17.8162,0.591628
SYCL,0,3072,2560,4096,20.2116,5.76117
SYCL,0,3072,3072,512,6.08147,1.0061
SYCL,0,3072,3072,1024,8.85759,1.22499
SYCL,0,3072,3072,1536,10.7176,-0.416703
SYCL,0,3072,3072,2048,13.2352,-1.08798
SYCL,0,3072,3072,2560,14.9581,-0.755992
SYCL,0,3072,3072,3072,19.0739,-0.585136
SYCL,0,3072,3072,3584,21.131,0.297474
SYCL,0,3072,3072,4096,23.8169,5.49383
SYCL,0,3072,3584,512,8.18162,-0.472149
