Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
CUDA,1,3072,1024,4096,6.31529,0.344731
CUDA,1,3072,1536,512,2.1764,0.345896
CUDA,1,3072,1536,1024,2.98602,0.43086
CUDA,1,3072,1536,1536,3.76561,0.422071
CUDA,1,3072,1536,2048,4.54715,0.436883
CUDA,1,3072,1536,2560,5.37541,0.498563
CUDA,1,3072,1536,3072,6.15738,0.51726
CUDA,1,3072,1536,3584,6.95816,0.676895
CUDA,1,3072,1536,4096,7.78774,0.340205
CUDA,1,3072,2048,512,2.71222,0.372502
CUDA,1,3072,2048,1024,3.66157,0.329253
CUDA,1,3072,2048,1536,4.5653,0.537838
CUDA,1,3072,2048,2048,5.49525,0.484698
CUDA,1,3072,2048,2560,6.79212,0.201095
CUDA,1,3072,2048,3072,7.36198,0.534541
CUDA,1,3072,2048,3584,8.31472,0.42418
CUDA,1,3072,2048,4096,9.32307,0.430283
CUDA,1,3072,2560,512,3.25615,0.535311
CUDA,1,3072,2560,1024,4.29928,0.467616
CUDA,1,3072,2560,1536,5.36651,0.477151
CUDA,1,3072,2560,2048,6.41505,0.521528
CUDA,1,3072,2560,2560,7.57111,0.420423
CUDA,1,3072,2560,3072,8.63955,0.421926
CUDA,1,3072,2560,3584,9.72715,0.480629
CUDA,1,3072,2560,4096,10.7673,0.598155
CUDA,1,3072,3072,512,3.78672,0.426138
CUDA,1,3072,3072,1024,5.00167,0.578337
CUDA,1,3072,3072,1536,6.16567,0.260001
CUDA,1,3072,3072,2048,7.42347,0.450914
CUDA,1,3072,3072,2560,8.59296,0.394897
CUDA,1,3072,3072,3072,9.82508,0.39161
CUDA,1,3072,3072,3584,11.0645,0.326913
CUDA,1,3072,3072,4096,12.3495,0.472692
CUDA,1,3072,3584,512,4.33871,0.544817
CUDA,1,3072,3584,1024,5.62677,0.439228
CUDA,1,3072,3584,1536,6.99785,0.339156
CUDA,1,3072,3584,2048,8.34189,0.531145
CUDA,1,3072,3584,2560,9.74638,0.522699
CUDA,1,3072,3584,3072,11.0875,0.339872
CUDA,1,3072,3584,3584,12.5253,0.451607
CUDA,1,3072,3584,4096,13.7445,0.309674
CUDA,1,3072,4096,512,4.8686,0.374841
CUDA,1,3072,4096,1024,6.30886,0.1879
CUDA,1,3072,4096,1536,7.79872,0.249511
CUDA,1,3072,4096,2048,9.358,0.43786
CUDA,1,3072,4096,2560,10.803,0.937353
CUDA,1,3072,4096,3072,12.3308,0.234511
CUDA,1,3072,4096,3584,13.808,0.622544
CUDA,1,3072,4096,4096,15.304,0.502465
CUDA,1,3584,512,512,1.21782,0.276945
CUDA,1,3584,512,1024,1.79606,0.285765
CUDA,1,3584,512,1536,2.41623,0.349379
CUDA,1,3584,512,2048,2.99861,0.476578
CUDA,1,3584,512,2560,3.64703,0.297972
CUDA,1,3584,512,3072,4.19733,0.500699
CUDA,1,3584,512,3584,4.8728,0.317208
CUDA,1,3584,512,4096,5.46514,0.38611
CUDA,1,3584,1024,512,1.87869,0.428843
CUDA,1,3584,1024,1024,2.63832,0.44419
CUDA,1,3584,1024,1536,3.3941,0.38466
CUDA,1,3584,1024,2048,4.18902,0.51422
CUDA,1,3584,1024,2560,4.91751,0.443469
CUDA,1,3584,1024,3072,5.64954,0.347882
CUDA,1,3584,1024,3584,6.46336,0.423139
CUDA,1,3584,1024,4096,7.15221,0.399268
CUDA,1,3584,1536,512,2.46453,0.388864
CUDA,1,3584,1536,1024,3.36103,0.34618
CUDA,1,3584,1536,1536,4.25534,0.371918
CUDA,1,3584,1536,2048,5.11788,0.409813
CUDA,1,3584,1536,2560,6.07248,0.326843
CUDA,1,3584,1536,3072,6.94614,0.564065
CUDA,1,3584,1536,3584,7.89276,0.507271
CUDA,1,3584,1536,4096,8.84019,0.362456
CUDA,1,3584,2048,512,3.10735,0.42819
CUDA,1,3584,2048,1024,4.12144,0.517952
CUDA,1,3584,2048,1536,5.19463,0.478219
CUDA,1,3584,2048,2048,6.24391,0.272369
CUDA,1,3584,2048,2560,7.30981,0.556065
CUDA,1,3584,2048,3072,8.36103,0.475343
CUDA,1,3584,2048,3584,9.46446,0.450178
CUDA,1,3584,2048,4096,10.508,0.5421
CUDA,1,3584,2560,512,3.67681,0.505563
CUDA,1,3584,2560,1024,4.87061,0.331582
CUDA,1,3584,2560,1536,6.09418,0.32561
CUDA,1,3584,2560,2048,7.26963,0.326781
CUDA,1,3584,2560,2560,8.58321,0.577706
CUDA,1,3584,2560,3072,9.80647,0.377268
CUDA,1,3584,2560,3584,10.9854,0.434287
CUDA,1,3584,2560,4096,12.2656,0.081355
CUDA,1,3584,3072,512,4.31932,0.469482
CUDA,1,3584,3072,1024,5.62422,0.289466
CUDA,1,3584,3072,1536,6.9828,0.640278
CUDA,1,3584,3072,2048,8.39569,0.510735
CUDA,1,3584,3072,2560,9.69866,0.430955
CUDA,1,3584,3072,3072,11.0758,0.431169
CUDA,1,3584,3072,3584,12.531,0.219173
CUDA,1,3584,3072,4096,13.8232,0.556578
CUDA,1,3584,3584,512,4.92262,0.411834
CUDA,1,3584,3584,1024,6.40256,0.283086
CUDA,1,3584,3584,1536,7.88803,0.358189
CUDA,1,3584,3584,2048,9.3665,0.550563
CUDA,1,3584,3584,2560,10.952,0.279606
CUDA,1,3584,3584,3072,12.4575,0.577036
CUDA,1,3584,3584,3584,13.9824,0.367483
CUDA,1,3584,3584,4096,15.2173,0.653548
CUDA,1,3584,4096,512,5.47256,0.402518
CUDA,1,3584,4096,1024,6.98468,0.286137
CUDA,1,3584,4096,1536,8.57746,0.596624
CUDA,1,3584,4096,2048,10.1316,0.648757
CUDA,1,3584,4096,2560,12.3253,0.417847
CUDA,1,3584,4096,3072,13.8188,0.423399
CUDA,1,3584,4096,3584,15.4669,0.416294
CUDA,1,3584,4096,4096,16.2408,0.601532
CUDA,1,4096,512,512,1.35679,0.410358
CUDA,1,4096,512,1024,2.04057,0.438857
CUDA,1,4096,512,1536,2.71504,0.306528
CUDA,1,4096,512,2048,3.36991,0.342747
CUDA,1,4096,512,2560,4.04569,0.448373
CUDA,1,4096,512,3072,4.72223,0.489058
CUDA,1,4096,512,3584,5.5588,0.181137
CUDA,1,4096,512,4096,6.23687,0.54412
CUDA,1,4096,1024,512,2.07949,0.206614
CUDA,1,4096,1024,1024,2.9508,0.409847
CUDA,1,4096,1024,1536,3.81252,0.497798
CUDA,1,4096,1024,2048,4.63208,0.463175
CUDA,1,4096,1024,2560,5.46713,0.483763
CUDA,1,4096,1024,3072,6.31804,0.539892
CUDA,1,4096,1024,3584,7.18257,0.658383
CUDA,1,4096,1024,4096,8.04236,0.376525
CUDA,1,4096,1536,512,2.78112,0.319691
CUDA,1,4096,1536,1024,3.79393,0.449246
CUDA,1,4096,1536,1536,4.77026,0.462318
CUDA,1,4096,1536,2048,5.79324,0.496959
CUDA,1,4096,1536,2560,6.85364,0.390198
CUDA,1,4096,1536,3072,7.7665,0.473787
CUDA,1,4096,1536,3584,8.83048,0.443002
CUDA,1,4096,1536,4096,9.83394,0.340497
CUDA,1,4096,2048,512,3.4685,0.5331
CUDA,1,4096,2048,1024,4.67753,0.412695
CUDA,1,4096,2048,1536,5.8236,0.39879
CUDA,1,4096,2048,2048,7.04528,0.307515
CUDA,1,4096,2048,2560,8.1884,0.391261
CUDA,1,4096,2048,3072,9.40308,0.559628
CUDA,1,4096,2048,3584,10.5796,0.366752
CUDA,1,4096,2048,4096,11.6953,0.572005
CUDA,1,4096,2560,512,4.17468,0.301749
CUDA,1,4096,2560,1024,5.47081,0.512037
CUDA,1,4096,2560,1536,6.86668,0.552829
CUDA,1,4096,2560,2048,8.12338,0.543757
CUDA,1,4096,2560,2560,9.5349,0.516949
CUDA,1,4096,2560,3072,10.8841,0.344415
CUDA,1,4096,2560,3584,12.2257,0.221734
CUDA,1,4096,2560,4096,13.4795,0.429271
CUDA,1,4096,3072,512,4.93113,0.475547
CUDA,1,4096,3072,1024,6.33784,0.192187
CUDA,1,4096,3072,1536,7.79189,0.480125
CUDA,1,4096,3072,2048,9.31061,0.40144
CUDA,1,4096,3072,2560,10.8538,0.442134
CUDA,1,4096,3072,3072,12.2736,0.239211
CUDA,1,4096,3072,3584,13.8327,0.491877
CUDA,1,4096,3072,4096,15.1959,0.674099
CUDA,1,4096,3584,512,5.55581,0.537742
CUDA,1,4096,3584,1024,7.13393,0.261632
CUDA,1,4096,3584,1536,8.83682,0.471023
CUDA,1,4096,3584,2048,10.4756,0.403099
CUDA,1,4096,3584,2560,12.2463,0.430652
CUDA,1,4096,3584,3072,13.8115,0.367655
CUDA,1,4096,3584,3584,15.329,0.483463
CUDA,1,4096,3584,4096,16.318,0.681205
CUDA,1,4096,4096,512,6.12044,0.101366
CUDA,1,4096,4096,1024,7.86099,0.539242
CUDA,1,4096,4096,1536,9.85614,0.310622
CUDA,1,4096,4096,2048,11.6693,0.537403
CUDA,1,4096,4096,2560,13.5758,0.605949
CUDA,1,4096,4096,3072,15.3143,0.670276
CUDA,1,4096,4096,3584,17.1227,0.614281
CUDA,1,4096,4096,4096,18.8416,0.601223
