Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENBLAS,0,3072,512,4096,149.812,0.687369
OPENBLAS,0,3072,1024,512,37.7879,-0.233828
OPENBLAS,0,3072,1024,1024,72.4246,-0.315617
OPENBLAS,0,3072,1024,1536,95.4893,0.682062
OPENBLAS,0,3072,1024,2048,127.137,1.27529
OPENBLAS,0,3072,1024,2560,158.771,0.95881
OPENBLAS,0,3072,1024,3072,190.61,0.863221
OPENBLAS,0,3072,1024,3584,222.607,-2.22173
OPENBLAS,0,3072,1024,4096,253.889,1.05776
OPENBLAS,0,3072,1536,512,48.3939,1.972
OPENBLAS,0,3072,1536,1024,108.409,-2.7772
OPENBLAS,0,3072,1536,1536,167.296,0.350512
OPENBLAS,0,3072,1536,2048,221.769,-0.953263
OPENBLAS,0,3072,1536,2560,275.594,-2.47388
OPENBLAS,0,3072,1536,3072,294.314,-4.34646
OPENBLAS,0,3072,1536,3584,330.104,0.047437
OPENBLAS,0,3072,1536,4096,376.538,0.400346
OPENBLAS,0,3072,2048,512,64.0804,0.103545
OPENBLAS,0,3072,2048,1024,126.165,0.382112
OPENBLAS,0,3072,2048,1536,218.999,-5.9226
OPENBLAS,0,3072,2048,2048,294.994,-1.29365
OPENBLAS,0,3072,2048,2560,366.164,-1.92533
OPENBLAS,0,3072,2048,3072,435.743,-3.60362
OPENBLAS,0,3072,2048,3584,508.725,-4.25244
OPENBLAS,0,3072,2048,4096,578.65,-4.45007
OPENBLAS,0,3072,2560,512,91.673,0.791206
OPENBLAS,0,3072,2560,1024,182.168,-1.5184
OPENBLAS,0,3072,2560,1536,271.033,-0.68231
OPENBLAS,0,3072,2560,2048,360.551,-3.4345
OPENBLAS,0,3072,2560,2560,449.618,-2.87207
OPENBLAS,0,3072,2560,3072,538.713,1.94938
OPENBLAS,0,3072,2560,3584,629.081,-3.79291
OPENBLAS,0,3072,2560,4096,717.418,-1.40146
OPENBLAS,0,3072,3072,512,109.029,0.408528
OPENBLAS,0,3072,3072,1024,214.791,10.0231
OPENBLAS,0,3072,3072,1536,321.804,-0.284574
OPENBLAS,0,3072,3072,2048,389.215,-2.20555
OPENBLAS,0,3072,3072,2560,520.524,-0.410397
OPENBLAS,0,3072,3072,3072,641.166,-2.31476
OPENBLAS,0,3072,3072,3584,748.33,-2.89384
OPENBLAS,0,3072,3072,4096,852.9,-4.052
OPENBLAS,0,3072,3584,512,126.682,0.425337
OPENBLAS,0,3072,3584,1024,241.47,-0.538131
OPENBLAS,0,3072,3584,1536,337.391,-2.46065
OPENBLAS,0,3072,3584,2048,433.164,16.4155
OPENBLAS,0,3072,3584,2560,539.879,-2.09771
OPENBLAS,0,3072,3584,3072,751.537,-2.70192
OPENBLAS,0,3072,3584,3584,879.105,-1.68611
OPENBLAS,0,3072,3584,4096,950.376,-0.689669
OPENBLAS,0,3072,4096,512,126.024,0.512248
OPENBLAS,0,3072,4096,1024,284.254,-2.03852
OPENBLAS,0,3072,4096,1536,439.754,-3.71355
OPENBLAS,0,3072,4096,2048,571.864,-3.30553
OPENBLAS,0,3072,4096,2560,712.834,-3.61434
OPENBLAS,0,3072,4096,3072,830.322,-5.2503
OPENBLAS,0,3072,4096,3584,926.371,-0.015813
OPENBLAS,0,3072,4096,4096,1146.46,0.212557
OPENBLAS,0,3584,512,512,22.5784,-0.300818
OPENBLAS,0,3584,512,1024,44.2901,-0.054565
OPENBLAS,0,3584,512,1536,66.1804,0.008078
OPENBLAS,0,3584,512,2048,87.9517,-0.409755
OPENBLAS,0,3584,512,2560,109.391,0.417959
OPENBLAS,0,3584,512,3072,131.011,1.30918
OPENBLAS,0,3584,512,3584,152.924,1.08771
OPENBLAS,0,3584,512,4096,165.38,6.36674
OPENBLAS,0,3584,1024,512,38.9136,-2.72975
OPENBLAS,0,3584,1024,1024,76.4335,8.16604
OPENBLAS,0,3584,1024,1536,124.92,0.602935
OPENBLAS,0,3584,1024,2048,167.933,-0.285296
