Accelerator,DataType,M,N,K,Avg_Time_ms,Jit_Time_ms
OPENVINO,0,1536,3584,4096,50.0946,106.975
OPENVINO,0,1536,4096,512,9.46499,47.2253
OPENVINO,0,1536,4096,1024,15.6956,57.2217
OPENVINO,0,1536,4096,1536,24.5479,62.6215
OPENVINO,0,1536,4096,2048,30.5113,76.282
OPENVINO,0,1536,4096,2560,41.8368,84.0917
OPENVINO,0,1536,4096,3072,43.9528,390.889
OPENVINO,0,1536,4096,3584,44.9238,106.594
OPENVINO,0,1536,4096,4096,50.4231,126.458
OPENVINO,0,2048,512,512,2.30211,25.9823
OPENVINO,0,2048,512,1024,4.05835,22.8644
OPENVINO,0,2048,512,1536,5.99562,33.9876
OPENVINO,0,2048,512,2048,7.81793,37.7952
OPENVINO,0,2048,512,2560,9.76896,42.6737
OPENVINO,0,2048,512,3072,10.9479,46.488
OPENVINO,0,2048,512,3584,11.9461,47.6317
OPENVINO,0,2048,512,4096,11.6635,58.7891
OPENVINO,0,2048,1024,512,4.02532,30.8024
OPENVINO,0,2048,1024,1024,6.77004,26.5424
OPENVINO,0,2048,1024,1536,12.6439,42.1616
OPENVINO,0,2048,1024,2048,13.0047,42.7083
OPENVINO,0,2048,1024,2560,13.6639,49.9024
OPENVINO,0,2048,1024,3072,15.5297,56.0324
OPENVINO,0,2048,1024,3584,15.0644,59.5181
OPENVINO,0,2048,1024,4096,17.888,65.0559
OPENVINO,0,2048,1536,512,7.49939,250.948
OPENVINO,0,2048,1536,1024,12.5854,43.2213
OPENVINO,0,2048,1536,1536,14.8063,46.4246
OPENVINO,0,2048,1536,2048,14.4824,48.7022
OPENVINO,0,2048,1536,2560,17.3006,53.3412
OPENVINO,0,2048,1536,3072,20.1924,65.4048
OPENVINO,0,2048,1536,3584,25.8229,65.0468
OPENVINO,0,2048,1536,4096,29.9908,75.551
OPENVINO,0,2048,2048,512,5.98636,37.9353
OPENVINO,0,2048,2048,1024,12.032,44.2731
OPENVINO,0,2048,2048,1536,15.2195,52.7924
OPENVINO,0,2048,2048,2048,17.5678,51.4759
OPENVINO,0,2048,2048,2560,23.9422,62.4092
OPENVINO,0,2048,2048,3072,24.9162,71.1219
OPENVINO,0,2048,2048,3584,29.1825,73.8035
OPENVINO,0,2048,2048,4096,34.58,82.2775
OPENVINO,0,2048,2560,512,7.82742,39.5268
OPENVINO,0,2048,2560,1024,13.1053,44.9834
